Time(nanoseconds=1760079922868817896, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.0339989
Time(nanoseconds=1760079923070538347, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03391048
Time(nanoseconds=1760079923270637558, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032834347
Time(nanoseconds=1760079923469674193, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.0326925
Time(nanoseconds=1760079923671187729, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032446336
Time(nanoseconds=1760079923870841090, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032574084
Time(nanoseconds=1760079924072292274, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032519206
Time(nanoseconds=1760079924270869598, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032923777
Time(nanoseconds=1760079924470926639, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032726098
Time(nanoseconds=1760079924670555189, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032453258
Time(nanoseconds=1760079924870852805, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.0318635
Time(nanoseconds=1760079925069460490, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03072824
Time(nanoseconds=1760079925271386116, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.030061724
Time(nanoseconds=1760079925470734140, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.02823527
Time(nanoseconds=1760079925671323503, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.02786022
Time(nanoseconds=1760079925870567234, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.02559978
Time(nanoseconds=1760079926071532947, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.024766529
Time(nanoseconds=1760079926271283710, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.023264429
Time(nanoseconds=1760079926471156265, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.022271544
Time(nanoseconds=1760079926670863688, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.020653222
Time(nanoseconds=1760079926871579874, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.020920098
Time(nanoseconds=1760079927070685692, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.021440672
Time(nanoseconds=1760079927271184214, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.023127874
Time(nanoseconds=1760079927469954462, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.023794822
Time(nanoseconds=1760079927670639038, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.025061967
Time(nanoseconds=1760079927870389852, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.025671687
Time(nanoseconds=1760079928071298583, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.02714581
Time(nanoseconds=1760079928271746714, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.027509307
Time(nanoseconds=1760079928471198270, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.026939964
Time(nanoseconds=1760079928671241160, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.026703773
Time(nanoseconds=1760079928871290900, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.026694043
Time(nanoseconds=1760079929071091185, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.027091404
Time(nanoseconds=1760079929271237608, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.027017798
Time(nanoseconds=1760079929471103855, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.027023952
Time(nanoseconds=1760079929670936850, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.026913533
Time(nanoseconds=1760079929871219416, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.027721519
Time(nanoseconds=1760079930071231726, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.027880482
Time(nanoseconds=1760079930271251766, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.029135214
Time(nanoseconds=1760079930472067626, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.02919563
Time(nanoseconds=1760079930678495792, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.02919563
Time(nanoseconds=1760079930870269681, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.029132457
Time(nanoseconds=1760079931071122181, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.028814359
Time(nanoseconds=1760079931270785543, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.028811455
Time(nanoseconds=1760079931469845209, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.02903192
Time(nanoseconds=1760079931671007258, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.029571334
Time(nanoseconds=1760079931870982246, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.02985695
Time(nanoseconds=1760079932070883494, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.0305385
Time(nanoseconds=1760079932272314248, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03132467
Time(nanoseconds=1760079932471306194, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.031172456
Time(nanoseconds=1760079932671155950, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03145111
Time(nanoseconds=1760079932871182790, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.031608947
Time(nanoseconds=1760079933070838891, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.031587552
Time(nanoseconds=1760079933270862041, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.0320257
Time(nanoseconds=1760079933470938684, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032108307
Time(nanoseconds=1760079933670547454, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032218035
Time(nanoseconds=1760079933871294332, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03226531
Time(nanoseconds=1760079934071039065, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032144368
Time(nanoseconds=1760079934270890262, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032341436
Time(nanoseconds=1760079934471055996, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032417376
Time(nanoseconds=1760079934670301177, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032612123
Time(nanoseconds=1760079934871055276, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03268986
Time(nanoseconds=1760079935069636441, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03292826
Time(nanoseconds=1760079935271195489, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.033186793
Time(nanoseconds=1760079935471217439, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.0333718
Time(nanoseconds=1760079935670550663, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.034000784
Time(nanoseconds=1760079935871068986, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03403249
Time(nanoseconds=1760079936069533019, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03422588
Time(nanoseconds=1760079936270959413, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.034470182
Time(nanoseconds=1760079936471294711, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.034642424
Time(nanoseconds=1760079936672713756, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.034920037
Time(nanoseconds=1760079936869473947, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035356008
Time(nanoseconds=1760079937069784515, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03608439
Time(nanoseconds=1760079937271471307, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.036110725
Time(nanoseconds=1760079937471427696, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035610422
Time(nanoseconds=1760079937671540049, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03524401
Time(nanoseconds=1760079937871355555, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03523624
Time(nanoseconds=1760079938071458597, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035015862
Time(nanoseconds=1760079938270801161, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035392135
Time(nanoseconds=1760079938470837933, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035037536
Time(nanoseconds=1760079938670394212, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.034821857
Time(nanoseconds=1760079938872650158, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03508579
Time(nanoseconds=1760079939072804491, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035131752
Time(nanoseconds=1760079939272265578, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035568584
Time(nanoseconds=1760079939471340857, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03595988
Time(nanoseconds=1760079939670802543, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.036225542
Time(nanoseconds=1760079939869922582, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03734697
Time(nanoseconds=1760079940071275316, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03749515
Time(nanoseconds=1760079940271083102, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03743119
Time(nanoseconds=1760079940471071752, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03782589
Time(nanoseconds=1760079940670103929, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03805952
Time(nanoseconds=1760079940872756304, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.038269684
Time(nanoseconds=1760079941070511190, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.038385008
